name,year,population
Holy See,1990,"61,634"
Holy See,1985,"59,602"
Holy See,1980,"57,573"
Holy See,1975,"55,400"
Holy See,1970,"52,565"
Holy See,1960,"2,833"
Holy See,1955,"2,108"
Holy See,1965,"36,847"
Holy See,1960,"34,615"
Holy See,1960,"15,432"
Holy See,1955,"13,789"
Holy See,2000,"57,821"
Holy See,1995,"53,161"
Holy See,1990,"47,347"
Holy See,1985,"39,519"
Holy See,2016,"71,307"
Holy See,2015,"71,183"
Holy See,2015,"78,011"
Holy See,2010,"84,449"
Holy See,2005,"78,867"
Holy See,2000,"65,390"
Holy See,2020,"106,766"
Holy See,2019,"106,314"
Holy See,1990,"55,604"
Holy See,1985,"53,190"
Holy See,1980,"50,179"
Holy See,1975,"49,586"
Holy See,2020,"98,347"
Holy See,2019,"97,739"
Holy See,2018,"97,096"
Holy See,2020,"104,425"
Holy See,2019,"104,578"
Holy See,2020,"105,695"
Holy See,2019,"104,494"
Holy See,2018,"103,197"
Holy See,2010,"56,672"
Holy See,2005,"49,261"
Holy See,2000,"42,303"
Holy See,1995,"32,166"
Holy See,1965,"49,214"
Holy See,1960,"51,195"
Holy See,1990,"45,752"
Holy See,1985,"28,720"
Holy See,1980,"16,633"
Holy See,1975,"14,924"
Holy See,1970,"12,994"
Holy See,1975,"25,576"
Holy See,1970,"20,395"
Holy See,1965,"17,284"
Holy See,1960,"14,662"
Holy See,1965,"49,388"
Holy See,1960,"44,979"
Holy See,1955,"40,708"
Holy See,1955,"32,481"
Holy See,1980,"32,646"
Holy See,1975,"30,052"
Holy See,1970,"27,363"
Holy See,1965,"23,672"
Holy See,1960,"20,123"
Holy See,2010,"70,878"
Holy See,2005,"70,589"
Holy See,2000,"69,650"
Holy See,1995,"71,098"
Holy See,1995,"63,850"
Holy See,1990,"54,509"
Holy See,1985,"44,600"
Holy See,1980,"36,067"
Holy See,1975,"30,705"
Holy See,2019,"84,584"
Holy See,2018,"84,077"
Holy See,2017,"83,598"
Holy See,2016,"83,287"
Holy See,2020,"110,940"
Holy See,2018,"105,845"
Holy See,1970,"46,074"
Holy See,2017,"96,418"
Holy See,2020,"112,523"
Holy See,2018,"104,680"
Holy See,2017,"104,751"
Holy See,2016,"104,835"
Holy See,2017,"101,998"
Holy See,1990,"25,312"
Holy See,1985,"19,467"
Holy See,1980,"16,212"
Holy See,1975,"12,244"
Holy See,1970,"9,144"
Holy See,2020,"97,929"
Holy See,2019,"97,118"
Holy See,2018,"96,286"
Holy See,1955,"48,492"
Holy See,1965,"11,022"
Holy See,1960,"9,979"
Holy See,1955,"7,985"
Holy See,1955,"13,894"
Holy See,1955,"19,754"
Holy See,1990,"70,419"
Holy See,1985,"73,201"
